data-dish,Название,Цена,Изображение,Адрес,Широта,Долгота
3762,Перекусить комбо Стандартное339.99 ₽ Заказать,339.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/dishes/bb5af99a5ab32af9b9aa731ad44c4e22.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
2467,Классическое комбо Стандартное399.99 ₽ Заказать,399.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/dishes/e2152d70dbc92e2097bde57febbd7ad3.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
2466,Поесть как следует комбо Стандартное529.99 ₽ Заказать,529.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/dishes/109c127045eb619833125efed6870622.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
2795,Перекусить комбо Большое349.99 ₽ Заказать,349.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/dishes/ff552d184e9ef23fa04cd66e47dad2ee.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
2287,Классическое комбо Большое499.99 ₽ Заказать,499.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/dishes/26d3ebd187fcb4d8f18c8a090316f402.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
2329,Поесть как следует комбо Большое569.99 ₽ Заказать,569.99 ₽,https://orderapp-app-static.burgerkingrus.ru/x256/catalog/images/dishes/bea41598b19d559dc8215d388e7d7409.png,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
8718,2 Воппер Жюльен со скидкой629.99 ₽,629.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
434,Ангус с Лисичками579.99 ₽,579.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
435,Двойной Ангус с Лисичками729.99 ₽,729.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
438,Чикен Жюльен359.99 ₽,359.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
271,Ангус Пармеджано519.99 ₽,519.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1736,Ангус Пармеджано Двойной659.99 ₽,659.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
436,Воппер Жюльен364.99 ₽,364.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
437,Двойной Воппер Жюльен509.99 ₽,509.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
7385,"Воппер, Чизбургер, Напиток, Фри634.99 ₽",634.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
381,Воппер309.99 ₽,309.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
384,Двойной Воппер429.99 ₽,429.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
382,Воппер с сыром349.99 ₽,349.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
386,Двойной Воппер с сыром459.99 ₽,459.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
262,Воппер Джуниор189.99 ₽,189.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
7386,"Кинг Фри, Наггетсы, 2 Соуса419.99 ₽",419.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
447,Чизбургер Жюльен159.99 ₽,159.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
448,Чизбургер Жюльен Двойной269.99 ₽,269.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
200,Тройной Воппер469.99 ₽,469.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
257,Чизбургер109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
362,Двойной Чизбургер209.99 ₽,209.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
258,Гамбургер109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
259,Чикенбургер109.99 ₽,109.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1532,Фиш Бургер Двойной269.99 ₽,269.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
263,Чикен Тар-Тар269.99 ₽,269.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
265,Фиш Бургер219.99 ₽,219.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
6745,Острый Ангус с Лисичками589.99 ₽,589.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
6747,Острый Ангус с Лисичками Двойной739.99 ₽,739.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
6749,Острый Воппер Жюльен374.99 ₽,374.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
6751,Острый Воппер Жюльен Двойной519.99 ₽,519.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
6753,Острый Чикен Жюльен369.99 ₽,369.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
387,Острый Воппер с сыром359.98 ₽,359.98 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
354,Острый Воппер319.98 ₽,319.98 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1095,Острый Воппер Джуниор199.98 ₽,199.98 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1737,Острый Ангус Пармеджано529.99 ₽,529.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
1738,Острый Ангус Пармеджано Двойной669.99 ₽,669.99 ₽,,Разреши доступ к геолокации  Покажем актуальные меню и акции  Разрешить,,
